id;ticket_no;last_name;first_name;phone;room;arrival_date;departure_date;model;color;license_plate;status;damanged;note
1;while before;Dach;Rafaela;499.847.2444 x43549;beneath;2024-10-27T17:01:38;2024-10-28T05:55:54;NISSAN;BLUE;indolent vice;WILL_COME_BACK;false;since
2;jagged menacing well-worn;Keeling;Mackenzie;918.514.1090;well;2024-10-27T20:01:19;2024-10-27T20:14:09;AUDI;PINK;why obnoxiously atop;AT_PORT;true;likely
3;transparency jaggedly belabor;Bosco;Danyka;1-247-244-3812 x3960;besides inasmuch iridescence;2024-10-27T22:29:51;2024-10-27T13:25:57;LEXUS;ORANGE;vastly geez arrange;WILL_COME_BACK;false;indeed
4;before thick;Wuckert;Gracie;1-801-332-0827 x268;inspect;2024-10-28T05:22:08;2024-10-27T22:00:02;BUICK;WHITE;soft;WILL_COME_BACK;true;whereas testify
5;meh icy avaricious;Pacocha;Angel;1-788-544-2625 x0860;honored once;2024-10-28T06:33:20;2024-10-27T21:57:21;BMW;WHITE;statement for until;PARKED;true;carnival lest
6;because huff ouch;Gislason;Eino;908.709.3811;deflate;2024-10-27T09:09:51;2024-10-27T23:28:12;DODGE;SILVER;without;CHECKED_OUT;false;eek opposite
7;crystallize ah outfit;Franey;Annabelle;1-629-714-1687 x39139;bah eek veto;2024-10-27T23:31:17;2024-10-27T11:46:26;SUBARU;PURPLE;harvest gosh;PARKED;true;aw and
8;mockingly;Ritchie;Elian;(727) 585-8975 x94549;inside;2024-10-27T22:02:09;2024-10-28T07:33:22;KIA;WHITE;crocodile orange;WILL_COME_BACK;false;ack eyebrow
9;ack vainly until;Stamm;Ned;(833) 760-7495;aw;2024-10-28T03:11:48;2024-10-27T18:21:16;SUZUKI;BROWN;besides qua;WILL_COME_BACK;false;especially
10;furthermore blah;Abernathy;Elliott;1-506-645-6835 x2597;what gigantic well-made;2024-10-27T20:43:34;2024-10-28T02:52:30;HONDA;ORANGE;well-off nor;TEMP_ON_STREET;true;grandiose
